tags: darakwon 12-과

[sound:계절.mp3]	계절<p class="small">(봄 &lt; 여름 &lt; 가을 &lt; 겨울)</p>	saison<p class="small">(printemps &lt; été &lt; automne &lt; hiver)</p>
[sound:덥다.mp3]	덥다<p class="small">(&ne;&nbsp;춥다)</p>	faire chaud<p class="small">(météo, angl. “hot” ; &ne;&nbsp;faire froid)</p>
[sound:더워요.mp3]	더<span class="불규칙">워</span>요<p class="small">(더<span class="불규칙">우어</span>요)</p><div class="활용"><div class="bloc"><div class="부정사">덥다</div><div class="불규칙">(“ㅂ” 불규칙)</div></div><div class="bloc"><div class="현재">더워요</div><div class="과거">더웠어요</div><div class="미래">더울 거예요</div></div><div class="bloc"><div class="연결">덥고</div><div class="연결">덥지만</div><div class="연결">더운데</div><div class="연결">더우면</div></div></div>	il fait chaud<p class="small">(météo)</p>
[sound:더웠어요.mp3]	더<span class="불규칙">웠</span>어요<p class="small">(더<span class="불규칙">우었</span>어요)</p><div class="활용"><div class="bloc"><div class="부정사">덥다</div><div class="불규칙">(“ㅂ” 불규칙)</div></div><div class="bloc"><div class="현재">더워요</div><div class="과거">더웠어요</div><div class="미래">더울 거예요</div></div><div class="bloc"><div class="연결">덥고</div><div class="연결">덥지만</div><div class="연결">더운데</div><div class="연결">더우면</div></div></div>	il faisait chaud<p class="small">(météo)</p>
[sound:더울_거예요.mp3]	더<span class="불규칙">울</span> 거예요<p class="small">(더<span class="불규칙">우을</span> 거예요)</p><div class="활용"><div class="bloc"><div class="부정사">덥다</div><div class="불규칙">(“ㅂ” 불규칙)</div></div><div class="bloc"><div class="현재">더워요</div><div class="과거">더웠어요</div><div class="미래">더울 거예요</div></div><div class="bloc"><div class="연결">덥고</div><div class="연결">덥지만</div><div class="연결">더운데</div><div class="연결">더우면</div></div></div>	il fera chaud<p class="small">(météo)</p>

[sound:불다.mp3]	불다	souffler
[sound:불어요.mp3]	불어요<div class="활용"><div class="bloc"><div class="부정사">불다</div><div class="불규칙">(“ㄹ” 불규칙)</div></div><div class="bloc"><div class="현재">불어요</div><div class="과거">불었어요</div><div class="미래">불 거예요</div></div><div class="bloc"><div class="연결">불고</div><div class="연결">불지만</div><div class="연결">부는데</div><div class="연결">불면</div></div></div>	il souffle
[sound:불었어요.mp3]	불었어요<div class="활용"><div class="bloc"><div class="부정사">불다</div><div class="불규칙">(“ㄹ” 불규칙)</div></div><div class="bloc"><div class="현재">불어요</div><div class="과거">불었어요</div><div class="미래">불 거예요</div></div><div class="bloc"><div class="연결">불고</div><div class="연결">불지만</div><div class="연결">부는데</div><div class="연결">불면</div></div></div>	il soufflait
[sound:불_거예요.mp3]	불 거예요<div class="활용"><div class="bloc"><div class="부정사">불다</div><div class="불규칙">(“ㄹ” 불규칙)</div></div><div class="bloc"><div class="현재">불어요</div><div class="과거">불었어요</div><div class="미래">불 거예요</div></div><div class="bloc"><div class="연결">불고</div><div class="연결">불지만</div><div class="연결">부는데</div><div class="연결">불면</div></div></div>	il soufflera

[sound:흐리다.mp3]	흐리다	être nuageux<p class="small">(météo)</p><hr/>être flou, impur<p class="small">(fluide : air, eau, &hellip;)</p><hr/>être confus<p class="small">(état d'esprit)</p>
